create_at;id;id_name;content;type;name;
2024-04-17 04:47:57;1898212;19;false;1;Работа;
2024-04-17 04:47:57;1898213;20;false;1;Авария процесса;
2024-04-17 04:47:57;1898214;21;false;1;Окончание процесса;
2024-04-17 04:47:57;1898215;25;0;6;ID касеты год;
2024-04-17 04:47:57;1898216;26;0;6;ID касеты месяц;
2024-04-17 04:47:57;1898217;27;0;6;ID касеты день;
2024-04-17 04:47:57;1898218;28;0;6;ID касеты номер;
2024-04-17 05:12:17;1898689;19;false;1;Работа;
2024-04-17 05:12:17;1898690;20;false;1;Авария процесса;
2024-04-17 05:12:17;1898691;21;false;1;Окончание процесса;
2024-04-17 05:12:17;1898692;25;0;6;ID касеты год;
2024-04-17 05:12:17;1898693;26;0;6;ID касеты месяц;
2024-04-17 05:12:17;1898694;27;0;6;ID касеты день;
2024-04-17 05:12:17;1898695;28;0;6;ID касеты номер;
2024-04-17 05:13:10;1898794;19;false;1;Работа;
2024-04-17 05:13:10;1898795;20;false;1;Авария процесса;
2024-04-17 05:13:10;1898796;21;false;1;Окончание процесса;
2024-04-17 05:13:10;1898797;25;0;6;ID касеты год;
2024-04-17 05:13:10;1898798;26;0;6;ID касеты месяц;
2024-04-17 05:13:10;1898799;27;0;6;ID касеты день;
2024-04-17 05:13:10;1898800;28;0;6;ID касеты номер;
2024-04-17 05:14:02;1898940;19;false;1;Работа;
2024-04-17 05:14:02;1898941;20;false;1;Авария процесса;
2024-04-17 05:14:02;1898942;21;false;1;Окончание процесса;
2024-04-17 05:14:02;1898943;25;0;6;ID касеты год;
2024-04-17 05:14:02;1898944;26;0;6;ID касеты месяц;
2024-04-17 05:14:02;1898945;27;0;6;ID касеты день;
2024-04-17 05:14:02;1898946;28;0;6;ID касеты номер;
2024-04-17 05:35:44;1899866;19;false;1;Работа;
2024-04-17 05:35:44;1899867;20;false;1;Авария процесса;
2024-04-17 05:35:44;1899868;21;false;1;Окончание процесса;
2024-04-17 05:35:44;1899869;25;0;6;ID касеты год;
2024-04-17 05:35:44;1899870;26;0;6;ID касеты месяц;
2024-04-17 05:35:44;1899871;27;0;6;ID касеты день;
2024-04-17 05:35:44;1899872;28;0;6;ID касеты номер;
2024-04-17 06:17:30;1902261;19;false;1;Работа;
2024-04-17 06:17:30;1902262;20;false;1;Авария процесса;
2024-04-17 06:17:30;1902263;21;false;1;Окончание процесса;
2024-04-17 06:17:30;1902264;25;0;6;ID касеты год;
2024-04-17 06:17:30;1902265;26;0;6;ID касеты месяц;
2024-04-17 06:17:30;1902266;27;0;6;ID касеты день;
2024-04-17 06:17:30;1902267;28;0;6;ID касеты номер;
2024-04-17 06:38:03;1903818;19;false;1;Работа;
2024-04-17 06:38:03;1903819;20;false;1;Авария процесса;
2024-04-17 06:38:03;1903820;21;false;1;Окончание процесса;
2024-04-17 06:38:03;1903821;25;0;6;ID касеты год;
2024-04-17 06:38:03;1903822;26;0;6;ID касеты месяц;
2024-04-17 06:38:03;1903823;27;0;6;ID касеты день;
2024-04-17 06:38:03;1903824;28;0;6;ID касеты номер;
2024-04-17 06:41:55;1904253;19;false;1;Работа;
2024-04-17 06:41:55;1904254;20;false;1;Авария процесса;
2024-04-17 06:41:55;1904255;21;false;1;Окончание процесса;
2024-04-17 06:41:55;1904256;25;0;6;ID касеты год;
2024-04-17 06:41:55;1904257;26;0;6;ID касеты месяц;
